time,symbol,trade_price,trade_size,trade_side
2018-10-10T17:43:04.081567Z,ES,193900,1,A
2018-10-10T17:43:04.717068Z,ES,193900,36,B
2018-10-10T17:43:04.946794Z,ES,193900,5,B
2018-10-10T17:43:05.136204Z,VX,2510,2,A
2018-10-10T17:43:05.970974Z,ES,193900,1,A
2018-10-10T17:43:06.490462Z,VX,2510,1,A
2018-10-10T17:43:07.106344Z,ES,193875,1,B
2018-10-10T17:43:07.274998Z,ES,193875,7,B
2018-10-10T17:43:07.494335Z,ES,193875,4,B
2018-10-10T17:43:07.676666Z,ES,193925,1,A
2018-10-10T17:43:07.789175Z,ES,193900,16,B
2018-10-10T17:43:08.278350Z,ES,193900,34,A
2018-10-10T17:43:08.437877Z,ES,193925,1,A
2018-10-10T17:43:08.903641Z,ES,193925,2,A
2018-10-10T17:43:08.994488Z,ES,193900,4,B
2018-10-10T17:43:09.834959Z,ES,193900,10,B
2018-10-10T17:43:09.963838Z,VX,2510,7,A
2018-10-10T17:43:10.973522Z,ES,193900,1,B
2018-10-10T17:43:11.051321Z,ES,193900,12,A
2018-10-10T17:43:12.009927Z,ES,193875,3,B
2018-10-10T17:43:12.649138Z,ES,193875,16,B
2018-10-10T17:43:13.386792Z,ES,193850,1,B
2018-10-10T17:43:13.841228Z,VX,2510,1,B
2018-10-10T17:43:13.892445Z,ES,193875,6,A
2018-10-10T17:43:14.443809Z,ES,193875,5,A
2018-10-10T17:43:14.616666Z,ES,193850,15,B
2018-10-10T17:43:14.841943Z,ES,193875,39,A
2018-10-10T17:43:15.367645Z,ES,193875,17,A
2018-10-10T17:43:16.203828Z,ES,193875,6,A
2018-10-10T17:43:16.844077Z,ES,193875,3,A
2018-10-10T17:43:17.050617Z,ES,193850,1,B
2018-10-10T17:43:17.762645Z,ES,193875,1,A
2018-10-10T17:43:18.301043Z,ES,193900,33,A
2018-10-10T17:43:18.445031Z,ES,193875,1,B
2018-10-10T17:43:18.713973Z,VX,2515,1,A
2018-10-10T17:43:18.819587Z,ES,193900,4,A
2018-10-10T17:43:19.529634Z,VX,2515,1,A
2018-10-10T17:43:19.873090Z,ES,193900,6,A
2018-10-10T17:43:20.035646Z,ES,193875,1,B
2018-10-10T17:43:20.266570Z,ES,193900,1,A
